,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
45,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,OffSide,26.303778,50.200317,Juice Bar
46,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Theory,26.304245,50.198068,Coffee Shop
47,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Ousha (أوشه),26.303529060567733,50.20488355035537,Shawarma Place
48,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Jasmi’s (جسميز),26.30349852158129,50.20546782097701,Fast Food Restaurant
49,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Palace Hotel,26.30470326979756,50.19885383633217,Hotel
50,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Tandoori house (بيت التنور),26.30314967187125,50.206950062023246,Asian Restaurant
51,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Burgerizzr,26.303469,50.20536,Burger Joint
52,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Cereals Art (فن الرقائق),26.301532,50.205549,Café
53,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Diet Center,26.303498,50.205474,Food & Drink Shop
54,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Golden Rose Hotel (فندق الروز الذهبية),26.303487289728313,50.20637969853068,Hotel
55,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Five Guys (فايف جايز),26.30376637862282,50.20416611535425,Burger Joint
56,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Tomanjie (تومانجي),26.30348856212525,50.20526259462978,Shawarma Place
57,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Lacasa Cubana,26.3036711063137,50.20392293762693,Smoke Shop
58,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Papa Kunafa (بابا كنافة),26.303573675724696,50.20479411888169,Pastry Shop
59,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Al kanafany Orginal sweet,26.30356,50.204903,Dessert Shop
60,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Pep & Co.,26.30355,50.205065,Salad Place
61,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Rawabi Al Khobar Suites (روابي الخبر للأجنحة الفندقية),26.303396,50.206235,Hotel
62,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,PIANOLLA (بيانولا),26.303136432743173,50.20635038984241,Coffee Shop
63,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Qadooa (قدوع),26.302913,50.206342,Pastry Shop
64,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Mal3b AlTamimi (ملعب التميمي),26.308425103437138,50.206279400228425,Soccer Field
65,Sinaiyah Ath Thuqbah Dist.,26.253792497222218,50.19638499861113,عالم الكيف,26.252128147971707,50.19722111676766,Smoke Shop
66,Sinaiyah Ath Thuqbah Dist.,26.253792497222218,50.19638499861113,King Khalid Highway (الطريق الى البحرين),26.254939104954715,50.19426825048289,Tourist Information Center
67,Sinaiyah Ath Thuqbah Dist.,26.253792497222218,50.19638499861113,Manto Rose (مانتو روز),26.256128385766893,50.19379009826049,Juice Bar
68,Sinaiyah Ath Thuqbah Dist.,26.253792497222218,50.19638499861113,Bunista Roastery,26.250518,50.199116,Café
69,Sinaiyah Ath Thuqbah Dist.,26.253792497222218,50.19638499861113,المتحدة للسيارات | مركز السمكرة والدهان,26.254799790666066,50.20065777162492,Auto Workshop
